,2014,1991,2016,2018,2013,2012
2018-01-05 04:00:00,10307,10895,10694,10701,11623,10465
2018-01-05 05:00:00,10454,11106,10822,10938,11813,10635
2018-01-05 06:00:00,10944,11806,11246,11724,12441,11198
2018-01-05 07:00:00,11498,12597,11724,12611,13150,11835
2018-01-05 08:00:00,11761,12973,11952,13033,13488,12137
2018-01-05 09:00:00,11740,12943,11933,12998,13460,12112
2018-01-05 10:00:00,11521,12631,11744,12648,13180,11861
2018-01-05 11:00:00,11162,12117,11434,12072,12720,11448
2018-01-05 12:00:00,10885,11721,11194,11628,12364,11129
2018-01-05 13:00:00,10828,11639,11145,11536,12291,11064
2018-01-05 14:00:00,10808,11612,11128,11505,12266,11041
2018-01-05 15:00:00,10796,11594,11117,11485,12250,11027
2018-01-05 16:00:00,11107,12039,11387,11985,12650,11385
2018-01-05 17:00:00,11737,12939,11931,12994,13457,12110
2018-01-05 18:00:00,12142,13517,12280,13642,13975,12574
2018-01-05 19:00:00,12007,13324,12164,13426,13803,12419
2018-01-05 20:00:00,11602,12746,11814,12777,13284,11954
2018-01-05 21:00:00,11191,12159,11459,12119,12757,11481
2018-01-05 22:00:00,10675,11421,11013,11291,12095,10888
2018-01-05 23:00:00,9982,10431,10414,10181,11207,10091
2018-01-06 00:00:00,9758,9873,9886,10413,11027,10608
2018-01-06 01:00:00,9747,9855,9873,10401,11015,10599
2018-01-06 02:00:00,9889,10100,10042,10563,11173,10714
2018-01-06 03:00:00,10016,10320,10193,10709,11314,10816
2018-01-06 04:00:00,10047,10373,10229,10744,11348,10841
2018-01-06 05:00:00,10095,10456,10286,10799,11401,10879
2018-01-06 06:00:00,10255,10733,10476,10981,11579,11008
2018-01-06 07:00:00,10435,11045,10691,11188,11779,11154
2018-01-06 08:00:00,10521,11194,10793,11286,11874,11223
2018-01-06 09:00:00,10514,11182,10785,11278,11867,11217
2018-01-06 10:00:00,10443,11059,10700,11197,11788,11160
2018-01-06 11:00:00,10326,10856,10561,11063,11658,11065
2018-01-06 12:00:00,10235,10699,10453,10959,11557,10992
2018-01-06 13:00:00,10217,10667,10431,10938,11536,10977
2018-01-06 14:00:00,10210,10656,10423,10931,11529,10972
2018-01-06 15:00:00,10206,10649,10419,10926,11525,10969
2018-01-06 16:00:00,10308,10825,10539,11042,11638,11051
2018-01-06 17:00:00,10513,11180,10784,11277,11866,11216
2018-01-06 18:00:00,10645,11409,10940,11428,12012,11323
2018-01-06 19:00:00,10601,11332,10888,11377,11963,11287
2018-01-06 20:00:00,10469,11104,10731,11227,11817,11181
2018-01-06 21:00:00,10335,10872,10572,11073,11668,11073
2018-01-06 22:00:00,10167,10581,10372,10881,11481,10937
2018-01-06 23:00:00,9941,10190,10103,10623,11230,10755
2018-01-07 00:00:00,9207,9316,9328,9825,10405,10009
2018-01-07 01:00:00,9195,9296,9314,9812,10391,9999
2018-01-07 02:00:00,9357,9558,9502,9995,10571,10136
2018-01-07 03:00:00,9502,9792,9670,10159,10733,10260
2018-01-07 04:00:00,9537,9849,9710,10198,10772,10289
2018-01-07 05:00:00,9592,9938,9774,10261,10833,10336
2018-01-07 06:00:00,9774,10232,9986,10467,11036,10491
2018-01-07 07:00:00,9980,10565,10225,10700,11265,10666
2018-01-07 08:00:00,10077,10723,10338,10810,11374,10749
2018-01-07 09:00:00,10070,10710,10329,10801,11365,10742
2018-01-07 10:00:00,9988,10579,10235,10710,11275,10673
2018-01-07 11:00:00,9855,10363,10080,10558,11126,10560
2018-01-07 12:00:00,9752,10196,9960,10442,11011,10472
2018-01-07 13:00:00,9730,10162,9935,10418,10987,10454
2018-01-07 14:00:00,9723,10150,9927,10409,10979,10448
2018-01-07 15:00:00,9719,10143,9922,10404,10974,10444
2018-01-07 16:00:00,9834,10330,10056,10535,11103,10542
2018-01-07 17:00:00,10069,10709,10328,10800,11364,10742
2018-01-07 18:00:00,10219,10952,10502,10970,11531,10869
2018-01-07 19:00:00,10169,10871,10444,10914,11476,10827
2018-01-07 20:00:00,10018,10628,10270,10743,11308,10699
2018-01-07 21:00:00,9866,10381,10092,10571,11138,10569
2018-01-07 22:00:00,9674,10070,9869,10353,10924,10406
2018-01-07 23:00:00,9416,9654,9570,10062,10637,10187
2018-01-08 00:00:00,9516,10675,8340,8199,10249,9376
2018-01-08 01:00:00,9482,10654,8310,8160,10218,9332
2018-01-08 02:00:00,9951,10939,8709,8685,10641,9925
2018-01-08 03:00:00,10371,11195,9067,9155,11021,10455
2018-01-08 04:00:00,10472,11257,9153,9269,11112,10583
2018-01-08 05:00:00,10631,11354,9289,9447,11256,10784
2018-01-08 06:00:00,11159,11675,9738,10039,11733,11451
2018-01-08 07:00:00,11756,12038,10246,10707,12273,12205
2018-01-08 08:00:00,12040,12211,10487,11025,12529,12563
2018-01-08 09:00:00,12017,12197,10468,10999,12508,12534
2018-01-08 10:00:00,11781,12053,10267,10735,12295,12237
2018-01-08 11:00:00,11394,11818,9938,10302,11945,11748
2018-01-08 12:00:00,11095,11636,9683,9967,11676,11370
2018-01-08 13:00:00,11034,11598,9631,9898,11620,11292
2018-01-08 14:00:00,11013,11586,9613,9874,11601,11266
2018-01-08 15:00:00,10999,11577,9602,9859,11589,11249
2018-01-08 16:00:00,11335,11782,9887,10236,11892,11673
2018-01-08 17:00:00,12014,12195,10465,10996,12505,12531
2018-01-08 18:00:00,12450,12460,10836,11484,12899,13081
2018-01-08 19:00:00,12305,12372,10713,11321,12768,12897
2018-01-08 20:00:00,11868,12106,10341,10833,12374,12346
2018-01-08 21:00:00,11425,11837,9964,10337,11974,11787
2018-01-08 22:00:00,10869,11498,9491,9713,11471,11084
2018-01-08 23:00:00,10122,11044,8855,8877,10796,10141
2018-01-09 00:00:00,9566,9499,8162,9386,8841,9133
2018-01-09 01:00:00,9537,9453,8117,9342,8798,9087
2018-01-09 02:00:00,9932,10076,8719,9936,9385,9717
2018-01-09 03:00:00,10285,10635,9258,10468,9910,10282
2018-01-09 04:00:00,10371,10769,9388,10596,10037,10419
2018-01-09 05:00:00,10505,10981,9592,10798,10237,10633
2018-01-09 06:00:00,10950,11683,10270,11467,10897,11343
2018-01-09 07:00:00,11452,12477,11035,12223,11644,12146
2018-01-09 08:00:00,11691,12854,11399,12583,11999,12527
2018-01-09 09:00:00,11671,12823,11370,12554,11970,12496
2018-01-09 10:00:00,11473,12510,11068,12255,11675,12180
2018-01-09 11:00:00,11147,11995,10571,11765,11191,11659
2018-01-09 12:00:00,10896,11598,10187,11386,10817,11257
2018-01-09 13:00:00,10844,11516,10108,11308,10740,11174
2018-01-09 14:00:00,10826,11488,10081,11281,10713,11146
2018-01-09 15:00:00,10815,11470,10064,11264,10697,11128
2018-01-09 16:00:00,11097,11917,10495,11690,11117,11579
2018-01-09 17:00:00,11669,12820,11366,12550,11967,12493
2018-01-09 18:00:00,12036,13399,11925,13102,12512,13079
2018-01-09 19:00:00,11914,13206,11739,12918,12330,12883
2018-01-09 20:00:00,11546,12626,11179,12365,11784,12296
2018-01-09 21:00:00,11173,12037,10611,11804,11230,11701
2018-01-09 22:00:00,10705,11297,9897,11099,10534,10952
2018-01-09 23:00:00,10076,10304,8939,10153,9599,9948
2018-01-10 00:00:00,8179,10278,8310,9842,9333,9860
2018-01-10 01:00:00,8126,10244,8261,9795,9287,9810
2018-01-10 02:00:00,8848,10705,8919,10425,9910,10484
2018-01-10 03:00:00,9495,11118,9507,10989,10468,11088
2018-01-10 04:00:00,9651,11217,9649,11125,10602,11233
2018-01-10 05:00:00,9896,11374,9872,11339,10814,11462
2018-01-10 06:00:00,10710,11893,10612,12048,11515,12222
2018-01-10 07:00:00,11629,12480,11448,12850,12307,13079
2018-01-10 08:00:00,12066,12758,11846,13231,12684,13487
2018-01-10 09:00:00,12030,12736,11813,13200,12653,13454
2018-01-10 10:00:00,11667,12504,11484,12883,12341,13116
2018-01-10 11:00:00,11071,12124,10941,12363,11826,12559
2018-01-10 12:00:00,10611,11830,10522,11962,11430,12129
2018-01-10 13:00:00,10516,11769,10436,11879,11348,12041
2018-01-10 14:00:00,10483,11749,10406,11851,11320,12010
2018-01-10 15:00:00,10463,11735,10388,11833,11302,11991
2018-01-10 16:00:00,10980,12066,10858,12284,11748,12474
2018-01-10 17:00:00,12026,12733,11809,13196,12650,13450
2018-01-10 18:00:00,12697,13161,12420,13781,13228,14076
2018-01-10 19:00:00,12473,13018,12216,13586,13035,13868
2018-01-10 20:00:00,11801,12590,11605,13000,12456,13240
2018-01-10 21:00:00,11119,12154,10985,12405,11868,12604
2018-01-10 22:00:00,10262,11607,10205,11658,11129,11804
2018-01-10 23:00:00,9112,10874,9159,10656,10138,10730
2018-01-11 00:00:00,9956,10475,8288,10677,10175,10080
2018-01-11 01:00:00,9918,10448,8236,10627,10132,10038
2018-01-11 02:00:00,10424,10812,8937,11303,10706,10601
2018-01-11 03:00:00,10876,11137,9564,11909,11219,11106
2018-01-11 04:00:00,10985,11216,9715,12055,11343,11227
2018-01-11 05:00:00,11156,11339,9953,12285,11537,11419
2018-01-11 06:00:00,11725,11749,10741,13046,12183,12053
2018-01-11 07:00:00,12367,12212,11632,13906,12912,12770
2018-01-11 08:00:00,12673,12432,12056,14315,13258,13110
2018-01-11 09:00:00,12648,12414,12021,14282,13230,13082
2018-01-11 10:00:00,12394,12231,11670,13942,12943,12800
2018-01-11 11:00:00,11978,11931,11092,13384,12469,12335
2018-01-11 12:00:00,11656,11699,10646,12953,12104,11976
2018-01-11 13:00:00,11589,11651,10553,12864,12029,11902
2018-01-11 14:00:00,11567,11635,10522,12834,12003,11876
2018-01-11 15:00:00,11552,11625,10502,12815,11987,11860
2018-01-11 16:00:00,11914,11885,11003,13299,12397,12264
2018-01-11 17:00:00,12645,12412,12017,14278,13227,13079
2018-01-11 18:00:00,13114,12750,12668,14906,13759,13603
2018-01-11 19:00:00,12958,12637,12451,14696,13582,13428
2018-01-11 20:00:00,12488,12299,11799,14067,13049,12904
2018-01-11 21:00:00,12011,11955,11138,13429,12507,12372
2018-01-11 22:00:00,11412,11523,10307,12627,11827,11704
2018-01-11 23:00:00,10608,10945,9193,11551,10915,10807
2018-01-12 00:00:00,10291,8657,8599,10925,10753,10320
2018-01-12 01:00:00,10247,8603,8543,10878,10725,10286
2018-01-12 02:00:00,10839,9336,9297,11513,11104,10745
2018-01-12 03:00:00,11370,9992,9972,12083,11442,11156
2018-01-12 04:00:00,11498,10150,10135,12220,11524,11256
2018-01-12 05:00:00,11699,10399,10391,12436,11652,11412
2018-01-12 06:00:00,12366,11224,11240,13152,12078,11929
2018-01-12 07:00:00,13120,12157,12199,13960,12560,12513
2018-01-12 08:00:00,13478,12600,12655,14345,12788,12790
2018-01-12 09:00:00,13449,12564,12617,14314,12770,12768
2018-01-12 10:00:00,13151,12196,12239,13995,12580,12537
2018-01-12 11:00:00,12662,11591,11617,13470,12268,12158
2018-01-12 12:00:00,12285,11124,11137,13065,12027,11866
2018-01-12 13:00:00,12207,11027,11037,12981,11977,11805
2018-01-12 14:00:00,12180,10995,11004,12953,11960,11785
2018-01-12 15:00:00,12163,10974,10982,12934,11949,11772
2018-01-12 16:00:00,12588,11498,11522,13390,12220,12100
2018-01-12 17:00:00,13445,12559,12613,14310,12768,12765
2018-01-12 18:00:00,13995,13240,13313,14901,13119,13192
2018-01-12 19:00:00,13812,13013,13080,14704,13002,13049
2018-01-12 20:00:00,13261,12331,12379,14112,12650,12622
2018-01-12 21:00:00,12702,11639,11667,13512,12293,12189
2018-01-12 22:00:00,11999,10770,10772,12758,11844,11644
2018-01-12 23:00:00,11056,9604,9573,11746,11242,10913
2018-01-13 00:00:00,10446,10500,9218,10819,10510,10704
2018-01-13 01:00:00,10433,10487,9197,10804,10498,10693
2018-01-13 02:00:00,10598,10670,9478,11007,10661,10845
2018-01-13 03:00:00,10746,10834,9731,11189,10807,10980
2018-01-13 04:00:00,10781,10873,9792,11232,10842,11013
2018-01-13 05:00:00,10837,10936,9887,11301,10897,11064
2018-01-13 06:00:00,11023,11142,10205,11530,11081,11235
2018-01-13 07:00:00,11233,11375,10563,11788,11288,11428
2018-01-13 08:00:00,11332,11485,10734,11910,11387,11519
2018-01-13 09:00:00,11324,11476,10720,11900,11379,11512
2018-01-13 10:00:00,11242,11384,10578,11799,11297,11436
2018-01-13 11:00:00,11106,11233,10346,11631,11162,11311
2018-01-13 12:00:00,11001,11117,10166,11502,11059,11214
2018-01-13 13:00:00,10979,11093,10129,11475,11037,11194
2018-01-13 14:00:00,10971,11084,10116,11466,11030,11187
2018-01-13 15:00:00,10967,11079,10108,11460,11025,11183
2018-01-13 16:00:00,11085,11210,10310,11606,11142,11292
2018-01-13 17:00:00,11323,11475,10718,11899,11378,11511
2018-01-13 18:00:00,11477,11645,10980,12088,11529,11651
2018-01-13 19:00:00,11425,11589,10893,12025,11479,11605
2018-01-13 20:00:00,11272,11418,10630,11836,11327,11464
2018-01-13 21:00:00,11116,11245,10364,11645,11173,11321
2018-01-13 22:00:00,10921,11028,10030,11404,10980,11141
2018-01-13 23:00:00,10659,10737,9582,11081,10721,10900
2018-01-14 00:00:00,9856,9908,8698,10209,9917,10100
2018-01-14 01:00:00,9842,9893,8676,10192,9903,10087
2018-01-14 02:00:00,10028,10096,8970,10415,10087,10261
2018-01-14 03:00:00,10194,10278,9234,10615,10252,10416
2018-01-14 04:00:00,10234,10322,9298,10663,10292,10454
2018-01-14 05:00:00,10298,10391,9398,10739,10354,10513
2018-01-14 06:00:00,10507,10620,9730,10990,10562,10708
2018-01-14 07:00:00,10743,10879,10105,11274,10796,10929
2018-01-14 08:00:00,10855,11002,10283,11409,10907,11034
2018-01-14 09:00:00,10846,10992,10268,11398,10898,11025
2018-01-14 10:00:00,10753,10890,10121,11286,10806,10938
2018-01-14 11:00:00,10599,10722,9877,11102,10654,10795
2018-01-14 12:00:00,10481,10592,9690,10960,10536,10684
2018-01-14 13:00:00,10457,10565,9651,10930,10512,10661
2018-01-14 14:00:00,10448,10556,9638,10920,10504,10654
2018-01-14 15:00:00,10443,10551,9629,10914,10499,10649
2018-01-14 16:00:00,10576,10696,9840,11074,10630,10773
2018-01-14 17:00:00,10845,10990,10267,11397,10897,11024
2018-01-14 18:00:00,11017,11179,10541,11604,11068,11185
2018-01-14 19:00:00,10960,11116,10449,11535,11011,11131
2018-01-14 20:00:00,10787,10927,10175,11327,10840,10970
2018-01-14 21:00:00,10612,10735,9897,11117,10666,10806
2018-01-14 22:00:00,10391,10494,9547,10852,10448,10600
2018-01-14 23:00:00,10096,10171,9078,10497,10155,10324
2018-01-15 00:00:00,9919,10353,8898,10269,8734,9125
2018-01-15 01:00:00,9882,10311,8854,10243,8692,9083
2018-01-15 02:00:00,10382,10873,9453,10592,9261,9646
2018-01-15 03:00:00,10830,11377,9990,10905,9770,10151
2018-01-15 04:00:00,10939,11498,10120,10980,9893,10273
2018-01-15 05:00:00,11109,11689,10324,11099,10086,10464
2018-01-15 06:00:00,11672,12321,10999,11492,10727,11098
2018-01-15 07:00:00,12309,13036,11762,11936,11450,11815
2018-01-15 08:00:00,12611,13376,12124,12147,11794,12156
2018-01-15 09:00:00,12587,13348,12095,12130,11766,12128
2018-01-15 10:00:00,12336,13066,11794,11955,11481,11846
2018-01-15 11:00:00,11922,12603,11299,11666,11011,11380
2018-01-15 12:00:00,11604,12245,10917,11444,10649,11021
2018-01-15 13:00:00,11538,12171,10838,11398,10574,10947
2018-01-15 14:00:00,11515,12145,10811,11382,10549,10922
2018-01-15 15:00:00,11501,12129,10794,11372,10532,10906
2018-01-15 16:00:00,11859,12532,11223,11622,10940,11309
2018-01-15 17:00:00,12584,13345,12091,12128,11763,12125
2018-01-15 18:00:00,13049,13867,12648,12452,12292,12649
2018-01-15 19:00:00,12894,13693,12462,12344,12115,12474
2018-01-15 20:00:00,12428,13170,11905,12019,11586,11950
2018-01-15 21:00:00,11956,12640,11338,11690,11049,11418
2018-01-15 22:00:00,11362,11973,10627,11275,10374,10749
2018-01-15 23:00:00,10565,11079,9673,10720,9469,9852
2018-01-16 00:00:00,9888,9953,9129,8988,9794,9551
2018-01-16 01:00:00,9850,9916,9081,8968,9757,9509
2018-01-16 02:00:00,10364,10418,9716,9233,10252,10071
2018-01-16 03:00:00,10824,10868,10285,9471,10694,10575
2018-01-16 04:00:00,10934,10977,10422,9529,10801,10696
2018-01-16 05:00:00,11109,11147,10638,9619,10969,10887
2018-01-16 06:00:00,11687,11713,11352,9918,11525,11520
2018-01-16 07:00:00,12340,12352,12160,10255,12154,12236
2018-01-16 08:00:00,12650,12656,12544,10416,12453,12576
2018-01-16 09:00:00,12625,12631,12513,10403,12428,12548
2018-01-16 10:00:00,12367,12379,12194,10270,12180,12266
2018-01-16 11:00:00,11944,11964,11670,10050,11772,11801
2018-01-16 12:00:00,11617,11644,11266,9881,11458,11443
2018-01-16 13:00:00,11549,11578,11182,9846,11393,11369
2018-01-16 14:00:00,11526,11556,11154,9834,11370,11344
2018-01-16 15:00:00,11511,11541,11135,9827,11356,11328
2018-01-16 16:00:00,11879,11901,11590,10017,11710,11731
2018-01-16 17:00:00,12622,12629,12509,10401,12425,12544
2018-01-16 18:00:00,13099,13095,13099,10648,12885,13067
2018-01-16 19:00:00,12940,12940,12902,10566,12731,12893
2018-01-16 20:00:00,12462,12472,12312,10319,12272,12370
2018-01-16 21:00:00,11978,11998,11712,10068,11805,11839
2018-01-16 22:00:00,11369,11402,10959,9753,11219,11172
2018-01-16 23:00:00,10551,10602,9949,9331,10432,10277
2018-01-17 00:00:00,9515,9958,9313,7984,10091,9708
2018-01-17 01:00:00,9472,9927,9263,7945,10061,9665
2018-01-17 02:00:00,10051,10344,9938,8478,10470,10241
2018-01-17 03:00:00,10569,10718,10542,8956,10837,10758
2018-01-17 04:00:00,10694,10808,10688,9071,10925,10882
2018-01-17 05:00:00,10891,10950,10917,9252,11064,11078
2018-01-17 06:00:00,11543,11419,11677,9853,11525,11727
2018-01-17 07:00:00,12279,11950,12536,10532,12045,12461
2018-01-17 08:00:00,12629,12202,12944,10854,12293,12809
2018-01-17 09:00:00,12601,12182,12911,10828,12273,12781
2018-01-17 10:00:00,12310,11972,12572,10560,12067,12491
2018-01-17 11:00:00,11832,11628,12015,10120,11729,12015
2018-01-17 12:00:00,11464,11362,11585,9780,11469,11648
2018-01-17 13:00:00,11387,11307,11496,9710,11415,11572
2018-01-17 14:00:00,11361,11289,11466,9686,11396,11547
2018-01-17 15:00:00,11345,11277,11447,9671,11385,11530
2018-01-17 16:00:00,11759,11576,11930,10053,11678,11943
2018-01-17 17:00:00,12597,12179,12907,10825,12270,12777
2018-01-17 18:00:00,13135,12567,13534,11320,12650,13313
2018-01-17 19:00:00,12956,12438,13325,11155,12524,13134
2018-01-17 20:00:00,12417,12050,12697,10659,12143,12598
2018-01-17 21:00:00,11871,11656,12060,10155,11757,12054
2018-01-17 22:00:00,11184,11161,11259,9522,11271,11370
2018-01-17 23:00:00,10263,10497,10185,8673,10620,10452
2018-01-18 00:00:00,10670,9114,9488,8587,10237,10579
2018-01-18 01:00:00,10644,9079,9445,8548,10195,10548
2018-01-18 02:00:00,10992,9561,10021,9068,10750,10967
2018-01-18 03:00:00,11304,9993,10537,9534,11246,11342
2018-01-18 04:00:00,11379,10097,10661,9646,11365,11432
2018-01-18 05:00:00,11498,10260,10857,9823,11554,11574
2018-01-18 06:00:00,11890,10803,11505,10408,12177,12046
2018-01-18 07:00:00,12332,11417,12238,11069,12882,12579
2018-01-18 08:00:00,12543,11708,12586,11384,13217,12832
2018-01-18 09:00:00,12526,11684,12558,11358,13190,12811
2018-01-18 10:00:00,12351,11442,12269,11097,12912,12601
2018-01-18 11:00:00,12064,11044,11793,10668,12455,12255
2018-01-18 12:00:00,11842,10737,11426,10337,12102,11989
2018-01-18 13:00:00,11796,10674,11351,10268,12029,11933
2018-01-18 14:00:00,11780,10652,11325,10245,12004,11915
2018-01-18 15:00:00,11771,10638,11308,10230,11988,11903
2018-01-18 16:00:00,12020,10984,11721,10603,12385,12203
2018-01-18 17:00:00,12524,11682,12554,11355,13187,12809
2018-01-18 18:00:00,12847,12130,13090,11838,13702,13198
2018-01-18 19:00:00,12739,11980,12911,11677,13530,13068
2018-01-18 20:00:00,12416,11532,12375,11193,13015,12679
2018-01-18 21:00:00,12087,11076,11832,10703,12491,12283
2018-01-18 22:00:00,11674,10504,11148,10086,11834,11786
2018-01-18 23:00:00,11120,9737,10232,9258,10952,11120
2018-01-19 00:00:00,9967,10118,9944,8839,10375,9373
2018-01-19 01:00:00,9932,10086,9908,8803,10338,9325
2018-01-19 02:00:00,10399,10521,10396,9292,10831,9968
2018-01-19 03:00:00,10818,10911,10833,9730,11272,10545
2018-01-19 04:00:00,10919,11005,10938,9836,11378,10684
2018-01-19 05:00:00,11077,11152,11104,10002,11546,10902
2018-01-19 06:00:00,11603,11642,11653,10552,12101,11627
2018-01-19 07:00:00,12198,12196,12274,11174,12728,12445
2018-01-19 08:00:00,12481,12459,12569,11470,13026,12834
2018-01-19 09:00:00,12457,12437,12545,11446,13001,12803
2018-01-19 10:00:00,12223,12219,12300,11201,12754,12480
2018-01-19 11:00:00,11837,11860,11897,10797,12347,11949
2018-01-19 12:00:00,11540,11583,11586,10485,12033,11539
2018-01-19 13:00:00,11478,11525,11522,10421,11968,11454
2018-01-19 14:00:00,11457,11506,11500,10399,11946,11425
2018-01-19 15:00:00,11444,11494,11486,10385,11932,11407
2018-01-19 16:00:00,11778,11805,11836,10735,12285,11868
2018-01-19 17:00:00,12455,12435,12542,11443,12999,12799
